Campaign,Keyword,Criterion Type
PL | Toruń | Sesje rodzinne | Search,za darmo,Negative phrase
PL | Toruń | Sesje rodzinne | Search,darmowe,Negative phrase
PL | Toruń | Sesje rodzinne | Search,praca,Negative phrase
PL | Toruń | Sesje rodzinne | Search,staż,Negative phrase
PL | Toruń | Sesje rodzinne | Search,kurs fotografii,Negative phrase
PL | Toruń | Sesje rodzinne | Search,szkoła fotografii,Negative phrase
PL | Toruń | Sesje rodzinne | Search,nauka fotografii,Negative phrase
PL | Toruń | Sesje rodzinne | Search,jak zrobić,Negative phrase
PL | Toruń | Sesje rodzinne | Search,do dowodu,Negative phrase
PL | Toruń | Sesje rodzinne | Search,do paszportu,Negative phrase
PL | Toruń | Sesje rodzinne | Search,zdjęcia dokumentowe,Negative phrase
PL | Toruń | Sesje rodzinne | Search,wynajem studia,Negative phrase
PL | Toruń | Sesje rodzinne | Search,bank zdjęć,Negative phrase
PL | Toruń | Sesje rodzinne | Search,stock,Negative phrase
PL | Toruń | Sesje rodzinne | Search,aparat fotograficzny,Negative phrase
